text,target_file,stability,similarity_boost,style
friend,audio/e1_word_friend.mp3,0.74,0.48,0.32
story,audio/e1_word_story.mp3,0.74,0.48,0.32
yesterday,audio/e1_word_yesterday.mp3,0.74,0.48,0.32
neighbor,audio/e1_word_neighbor.mp3,0.74,0.48,0.32
detail,audio/e1_word_detail.mp3,0.74,0.48,0.32
today,audio/e1_word_today.mp3,0.74,0.48,0.32
witness,audio/e1_word_witness.mp3,0.74,0.48,0.32
report,audio/e1_word_report.mp3,0.74,0.48,0.32
later,audio/e1_word_later.mp3,0.74,0.48,0.32
teacher,audio/e1_word_teacher.mp3,0.74,0.48,0.32
message,audio/e1_word_message.mp3,0.74,0.48,0.32
again,audio/e1_word_again.mp3,0.74,0.48,0.32
speaker,audio/e1_word_speaker.mp3,0.74,0.48,0.32
note,audio/e1_word_note.mp3,0.74,0.48,0.32
morning,audio/e1_word_morning.mp3,0.74,0.48,0.32
garden,audio/e1_word_garden.mp3,0.74,0.48,0.32
children,audio/e1_word_children.mp3,0.74,0.48,0.32
bright,audio/e1_word_bright.mp3,0.74,0.48,0.32
chalk,audio/e1_word_chalk.mp3,0.74,0.48,0.32
river,audio/e1_word_river.mp3,0.74,0.48,0.32
stone,audio/e1_word_stone.mp3,0.74,0.48,0.32
cold,audio/e1_word_cold.mp3,0.74,0.48,0.32
baker,audio/e1_word_baker.mp3,0.74,0.48,0.32
flour,audio/e1_word_flour.mp3,0.74,0.48,0.32
warm,audio/e1_word_warm.mp3,0.74,0.48,0.32
kitchen,audio/e1_word_kitchen.mp3,0.74,0.48,0.32
timer,audio/e1_word_timer.mp3,0.74,0.48,0.32
careful,audio/e1_word_careful.mp3,0.74,0.48,0.32
table,audio/e1_word_table.mp3,0.74,0.48,0.32
water,audio/e1_word_water.mp3,0.74,0.48,0.32
sudden,audio/e1_word_sudden.mp3,0.74,0.48,0.32
